symbol,date,price,,,,,
Data Scientist,Nov 2003,21.1,,,,,
Data Scientist,Dec 2003,22.46,,,,,
Data Scientist,Jan 2004,22.69,,,,,
Data Scientist,Feb 2004,21.77,,,,,
Data Scientist,Mar 2004,20.46,,,,,
Data Scientist,Apr 2004,21.45,,,,,
Data Scientist,May 2004,21.53,,,,,
Data Scientist,Jun 2004,23.44,,,,,
Data Scientist,Jul 2004,23.38,,,,,
Data Scientist,Aug 2004,22.47,,,,,
Data Scientist,Sep 2004,22.76,,,,,
Data Scientist,Oct 2004,23.02,,,,,
Data Scientist,Nov 2004,24.6,,,,,
Data Scientist,Dec 2004,24.52,,,,,
Data Scientist,Jan 2005,24.11,,,,,
Data Scientist,Feb 2005,23.15,,,,,
Data Scientist,Mar 2005,22.24,,,,,
Data Scientist,Apr 2005,23.28,,,,,
Data Scientist,May 2005,23.82,,,,,
Data Scientist,Jun 2005,22.93,,,,,
Data Scientist,Jul 2005,23.64,,,,,
Data Scientist,Aug 2005,25.35,,,,,
Data Scientist,Sep 2005,23.83,,,,,
Data Scientist,Oct 2005,23.8,,,,,
Data Scientist,Nov 2005,25.71,,,,,
Data Scientist,Dec 2005,24.29,,,,,
Data Scientist,Jan 2006,26.14,,,,,
Data Scientist,Feb 2006,25.04,,,,,
Data Scientist,Mar 2006,25.36,,,,,
Data Scientist,Apr 2006,22.5,,,,,
Data Scientist,May 2006,21.19,,,,,
Data Scientist,Jun 2006,21.8,,,,,
Data Scientist,Jul 2006,22.51,,,,,
Data Scientist,Aug 2006,24.13,,,,,
Data Scientist,Sep 2006,25.68,,,,,
Data Scientist,Oct 2006,26.96,,,,,
Data Scientist,Nov 2006,27.66,,,,,
Data Scientist,Dec 2006,28.13,,,,,
Data Scientist,Jan 2007,29.07,,,,,
Data Scientist,Feb 2007,26.63,,,,,
Data Scientist,Mar 2007,26.35,,,,,
Data Scientist,Apr 2007,28.3,,,,,
Data Scientist,May 2007,29.11,,,,,
Data Scientist,Jun 2007,27.95,,,,,
Data Scientist,Jul 2007,27.5,,,,,
Data Scientist,Aug 2007,27.34,,,,,
Data Scientist,Sep 2007,28.04,,,,,
Data Scientist,Oct 2007,35.03,,,,,
Data Scientist,Nov 2007,32.09,,,,,
Data Scientist,Dec 2007,34,,,,,
Data Scientist,Jan 2008,31.13,,,,,
Data Scientist,Feb 2008,26.07,,,,,
Data Scientist,Mar 2008,27.21,,,,,
Data Scientist,Apr 2008,27.34,,,,,
Data Scientist,May 2008,27.25,,,,,
Data Scientist,Jun 2008,26.47,,,,,
Data Scientist,Jul 2008,24.75,,,,,
Data Scientist,Aug 2008,26.36,,,,,
Data Scientist,Sep 2008,25.78,,,,,
Data Scientist,Oct 2008,21.57,,,,,
Data Scientist,Nov 2008,19.66,,,,,
Data Scientist,Dec 2008,18.91,,,,,
Data Scientist,Jan 2009,16.63,,,,,
Data Scientist,Feb 2009,15.81,,,,,
Data Scientist,Mar 2009,17.99,,,,,
Data Scientist,Apr 2009,19.84,,,,,
Data Scientist,May 2009,20.59,,,,,
Data Scientist,Jun 2009,23.42,,,,,
Data Scientist,Jul 2009,23.18,,,,,
Data Scientist,Aug 2009,24.43,,,,,
Data Scientist,Sep 2009,25.49,,,,,
Data Scientist,Oct 2009,27.48,,,,,
Data Scientist,Nov 2009,29.27,,,,,
Data Scientist,Dec 2009,30.34,,,,,
Data Scientist,Jan 2010,28.05,,,,,
Data Scientist,Feb 2010,28.67,,,,,
Data Scientist,Mar 2010,28.8,,,,,
Actuary,Jan 2000,64.56,,,,,
Actuary,Feb 2000,68.87,,,,,
Actuary,Mar 2000,67,,,,,
Actuary,Apr 2000,55.19,,,,,
Actuary,May 2000,48.31,,,,,
Actuary,Jun 2000,36.31,,,,,
Actuary,Jul 2000,30.12,,,,,
Actuary,Aug 2000,41.5,,,,,
Actuary,Sep 2000,38.44,,,,,
Actuary,Oct 2000,36.62,,,,,
Actuary,Nov 2000,24.69,,,,,
Actuary,Dec 2000,15.56,,,,,
Actuary,Jan 2001,17.31,,,,,
Actuary,Feb 2001,10.19,,,,,
Actuary,Mar 2001,10.23,,,,,
Actuary,Apr 2001,15.78,,,,,
Actuary,May 2001,16.69,,,,,
Actuary,Jun 2001,14.15,,,,,
Actuary,Jul 2001,12.49,,,,,
Actuary,Aug 2001,8.94,,,,,
Actuary,Sep 2001,5.97,,,,,
Actuary,Oct 2001,6.98,,,,,
Actuary,Nov 2001,11.32,,,,,
Actuary,Dec 2001,10.82,,,,,
Actuary,Jan 2002,14.19,,,,,
Actuary,Feb 2002,14.1,,,,,
Actuary,Mar 2002,14.3,,,,,
Actuary,Apr 2002,16.69,,,,,
Actuary,May 2002,18.23,,,,,
Actuary,Jun 2002,16.25,,,,,
Actuary,Jul 2002,14.45,,,,,
Actuary,Aug 2002,14.94,,,,,
Actuary,Sep 2002,15.93,,,,,
Actuary,Oct 2002,19.36,,,,,
Actuary,Nov 2002,23.35,,,,,
Actuary,Dec 2002,18.89,,,,,
Actuary,Jan 2003,21.85,,,,,
Actuary,Feb 2003,22.01,,,,,
Actuary,Mar 2003,26.03,,,,,
Actuary,Apr 2003,28.69,,,,,
Actuary,May 2003,35.89,,,,,
Actuary,Jun 2003,36.32,,,,,
Actuary,Jul 2003,41.64,,,,,
Actuary,Aug 2003,46.32,,,,,
Actuary,Sep 2003,48.43,,,,,
Actuary,Oct 2003,54.43,,,,,
Actuary,Nov 2003,53.97,,,,,
Actuary,Dec 2003,52.62,,,,,
Actuary,Jan 2004,50.4,,,,,
Actuary,Feb 2004,43.01,,,,,
Actuary,Mar 2004,43.28,,,,,
Actuary,Apr 2004,43.6,,,,,
Actuary,May 2004,48.5,,,,,
Actuary,Jun 2004,54.4,,,,,
Actuary,Jul 2004,38.92,,,,,
Actuary,Aug 2004,38.14,,,,,
Actuary,Sep 2004,40.86,,,,,
Actuary,Oct 2004,34.13,,,,,
Actuary,Nov 2004,39.68,,,,,
Actuary,Dec 2004,44.29,,,,,
Actuary,Jan 2005,43.22,,,,,
Actuary,Feb 2005,35.18,,,,,
Actuary,Mar 2005,34.27,,,,,
Actuary,Apr 2005,32.36,,,,,
Actuary,May 2005,35.51,,,,,
Actuary,Jun 2005,33.09,,,,,
Actuary,Jul 2005,45.15,,,,,
Actuary,Aug 2005,42.7,,,,,
Actuary,Sep 2005,45.3,,,,,
Actuary,Oct 2005,39.86,,,,,
Actuary,Nov 2005,48.46,,,,,
Actuary,Dec 2005,47.15,,,,,
Actuary,Jan 2006,44.82,,,,,
Actuary,Feb 2006,37.44,,,,,
Actuary,Mar 2006,36.53,,,,,
Actuary,Apr 2006,35.21,,,,,
Actuary,May 2006,34.61,,,,,
Actuary,Jun 2006,38.68,,,,,
Actuary,Jul 2006,26.89,,,,,
Actuary,Aug 2006,30.83,,,,,
Actuary,Sep 2006,32.12,,,,,
Actuary,Oct 2006,38.09,,,,,
Actuary,Nov 2006,40.34,,,,,
Actuary,Dec 2006,39.46,,,,,
Actuary,Jan 2007,37.67,,,,,
Actuary,Feb 2007,39.14,,,,,
Actuary,Mar 2007,39.79,,,,,
Actuary,Apr 2007,61.33,,,,,
Actuary,May 2007,69.14,,,,,
Actuary,Jun 2007,68.41,,,,,
Actuary,Jul 2007,78.54,,,,,
Actuary,Aug 2007,79.91,,,,,
Actuary,Sep 2007,93.15,,,,,
Actuary,Oct 2007,89.15,,,,,
Actuary,Nov 2007,90.56,,,,,
Actuary,Dec 2007,92.64,,,,,
Actuary,Jan 2008,77.7,,,,,
Actuary,Feb 2008,64.47,,,,,
Actuary,Mar 2008,71.3,,,,,
Actuary,Apr 2008,78.63,,,,,
Actuary,May 2008,81.62,,,,,
Actuary,Jun 2008,73.33,,,,,
Actuary,Jul 2008,76.34,,,,,
Actuary,Aug 2008,80.81,,,,,
Actuary,Sep 2008,72.76,,,,,
Actuary,Oct 2008,57.24,,,,,
Actuary,Nov 2008,42.7,,,,,
Actuary,Dec 2008,51.28,,,,,
Actuary,Jan 2009,58.82,,,,,
Actuary,Feb 2009,64.79,,,,,
Actuary,Mar 2009,73.44,,,,,
Actuary,Apr 2009,80.52,,,,,
Actuary,May 2009,77.99,,,,,
Actuary,Jun 2009,83.66,,,,,
Actuary,Jul 2009,85.76,,,,,
Actuary,Aug 2009,81.19,,,,,
Actuary,Sep 2009,93.36,,,,,
Actuary,Oct 2009,118.81,,,,,
Actuary,Nov 2009,135.91,,,,,
Actuary,Dec 2009,134.52,,,,,
Actuary,Jan 2010,125.41,,,,,
Actuary,Feb 2010,118.4,,,,,
Actuary,Mar 2010,128.82,,,,,
Risk,Jan 2000,100.52,,,,,
Risk,Feb 2000,92.11,,,,,
Risk,Mar 2000,106.11,,,,,
Risk,Apr 2000,99.95,,,,,
Risk,May 2000,96.31,,,,,
Risk,Jun 2000,98.33,,,,,
Risk,Jul 2000,100.74,,,,,
Risk,Aug 2000,118.62,,,,,
Risk,Sep 2000,101.19,,,,,
Risk,Oct 2000,88.5,,,,,
Risk,Nov 2000,84.12,,,,,
Risk,Dec 2000,76.47,,,,,
Risk,Jan 2001,100.76,,,,,
Risk,Feb 2001,89.98,,,,,
Risk,Mar 2001,86.63,,,,,
Risk,Apr 2001,103.7,,,,,
Risk,May 2001,100.82,,,,,
Risk,Jun 2001,102.35,,,,,
Risk,Jul 2001,94.87,,,,,
Risk,Aug 2001,90.25,,,,,
Risk,Sep 2001,82.82,,,,,
Risk,Oct 2001,97.58,,,,,
Risk,Nov 2001,104.5,,,,,
Risk,Dec 2001,109.36,,,,,
Risk,Jan 2002,97.54,,,,,
Risk,Feb 2002,88.82,,,,,
Risk,Mar 2002,94.15,,,,,
Risk,Apr 2002,75.82,,,,,
Risk,May 2002,72.97,,,,,
Risk,Jun 2002,65.31,,,,,
Risk,Jul 2002,63.86,,,,,
Risk,Aug 2002,68.52,,,,,
Risk,Sep 2002,53.01,,,,,
Risk,Oct 2002,71.76,,,,,
Risk,Nov 2002,79.16,,,,,
Risk,Dec 2002,70.58,,,,,
Risk,Jan 2003,71.22,,,,,
Risk,Feb 2003,71.13,,,,,
Risk,Mar 2003,71.57,,,,,
Risk,Apr 2003,77.47,,,,,
Risk,May 2003,80.48,,,,,
Risk,Jun 2003,75.42,,,,,
Risk,Jul 2003,74.28,,,,,
Risk,Aug 2003,75.12,,,,,
Risk,Sep 2003,80.91,,,,,
Risk,Oct 2003,81.96,,,,,
Risk,Nov 2003,83.08,,,,,
Risk,Dec 2003,85.05,,,,,
Risk,Jan 2004,91.06,,,,,
Risk,Feb 2004,88.7,,,,,
Risk,Mar 2004,84.41,,,,,
Risk,Apr 2004,81.04,,,,,
Risk,May 2004,81.59,,,,,
Risk,Jun 2004,81.19,,,,,
Risk,Jul 2004,80.19,,,,,
Risk,Aug 2004,78.17,,,,,
Risk,Sep 2004,79.13,,,,,
Risk,Oct 2004,82.84,,,,,
Risk,Nov 2004,87.15,,,,,
Risk,Dec 2004,91.16,,,,,
Risk,Jan 2005,86.39,,,,,
Risk,Feb 2005,85.78,,,,,
Risk,Mar 2005,84.66,,,,,
Risk,Apr 2005,70.77,,,,,
Risk,May 2005,70.18,,,,,
Risk,Jun 2005,68.93,,,,,
Risk,Jul 2005,77.53,,,,,
Risk,Aug 2005,75.07,,,,,
Risk,Sep 2005,74.7,,,,,
Risk,Oct 2005,76.25,,,,,
Risk,Nov 2005,82.98,,,,,
Risk,Dec 2005,76.73,,,,,
Risk,Jan 2006,75.89,,,,,
Risk,Feb 2006,75.09,,,,,
Risk,Mar 2006,77.17,,,,,
Risk,Apr 2006,77.05,,,,,
Risk,May 2006,75.04,,,,,
Risk,Jun 2006,72.15,,,,,
Risk,Jul 2006,72.7,,,,,
Risk,Aug 2006,76.35,,,,,
Risk,Sep 2006,77.26,,,,,
Risk,Oct 2006,87.06,,,,,
Risk,Nov 2006,86.95,,,,,
Risk,Dec 2006,91.9,,,,,
Risk,Jan 2007,93.79,,,,,
Risk,Feb 2007,88.18,,,,,
Risk,Mar 2007,89.44,,,,,
Risk,Apr 2007,96.98,,,,,
Risk,May 2007,101.54,,,,,
Risk,Jun 2007,100.25,,,,,
Risk,Jul 2007,105.4,,,,,
Risk,Aug 2007,111.54,,,,,
Risk,Sep 2007,112.6,,,,,
Risk,Oct 2007,111,,,,,
Risk,Nov 2007,100.9,,,,,
Risk,Dec 2007,103.7,,,,,
Risk,Jan 2008,102.75,,,,,
Risk,Feb 2008,109.64,,,,,
Risk,Mar 2008,110.87,,,,,
Risk,Apr 2008,116.23,,,,,
Risk,May 2008,125.14,,,,,
Risk,Jun 2008,114.6,,,,,
Risk,Jul 2008,123.74,,,,,
Risk,Aug 2008,118.16,,,,,
Risk,Sep 2008,113.53,,,,,
Risk,Oct 2008,90.24,,,,,
Risk,Nov 2008,79.65,,,,,
Risk,Dec 2008,82.15,,,,,
Risk,Jan 2009,89.46,,,,,
Risk,Feb 2009,90.32,,,,,
Risk,Mar 2009,95.09,,,,,
Risk,Apr 2009,101.29,,,,,
Risk,May 2009,104.85,,,,,
Risk,Jun 2009,103.01,,,,,
Risk,Jul 2009,106.34,,,,,
Risk,Aug 2009,107,,,,,
Risk,Sep 2009,108.55,,,,,
Risk,Oct 2009,109.54,,,,,
Risk,Nov 2009,105.79,,,,,
Risk,Dec 2009,100.32,,,,,
Risk,Jan 2010,101.85,,,,,
Risk,Feb 2010,107.16,,,,,
Risk,Mar 2010,105.55,,,,,
Finance,Jan 2000,25.94,,,,,
Finance,Feb 2000,28.66,,,,,
Finance,Mar 2000,33.95,,,,,
Finance,Apr 2000,31.01,,,,,
Finance,May 2000,21,,,,,
Finance,Jun 2000,26.19,,,,,
Finance,Jul 2000,25.41,,,,,
Finance,Aug 2000,30.47,,,,,
Finance,Sep 2000,12.88,,,,,
Finance,Oct 2000,9.78,,,,,
Finance,Nov 2000,8.25,,,,,
Finance,Dec 2000,7.44,,,,,
Finance,Jan 2001,10.81,,,,,
Finance,Feb 2001,9.12,,,,,
Finance,Mar 2001,11.03,,,,,
Finance,Apr 2001,12.74,,,,,
Finance,May 2001,9.98,,,,,
Finance,Jun 2001,11.62,,,,,
Finance,Jul 2001,9.4,,,,,
Finance,Aug 2001,9.27,,,,,
Finance,Sep 2001,7.76,,,,,
Finance,Oct 2001,8.78,,,,,
Finance,Nov 2001,10.65,,,,,
Finance,Dec 2001,10.95,,,,,
Finance,Jan 2002,12.36,,,,,
Finance,Feb 2002,10.85,,,,,
Finance,Mar 2002,11.84,,,,,
Finance,Apr 2002,12.14,,,,,
Finance,May 2002,11.65,,,,,
Finance,Jun 2002,8.86,,,,,
Finance,Jul 2002,7.63,,,,,
Finance,Aug 2002,7.38,,,,,
Finance,Sep 2002,7.25,,,,,
Finance,Oct 2002,8.03,,,,,
Finance,Nov 2002,7.75,,,,,
Finance,Dec 2002,7.16,,,,,
Finance,Jan 2003,7.18,,,,,
Finance,Feb 2003,7.51,,,,,
Finance,Mar 2003,7.07,,,,,
Finance,Apr 2003,7.11,,,,,
Finance,May 2003,8.98,,,,,
Finance,Jun 2003,9.53,,,,,
Finance,Jul 2003,10.54,,,,,
Finance,Aug 2003,11.31,,,,,
Finance,Sep 2003,10.36,,,,,
Finance,Oct 2003,11.44,,,,,
Finance,Nov 2003,10.45,,,,,
Finance,Dec 2003,10.69,,,,,
Finance,Jan 2004,11.28,,,,,
Finance,Feb 2004,11.96,,,,,
Finance,Mar 2004,13.52,,,,,
Finance,Apr 2004,12.89,,,,,
Finance,May 2004,14.03,,,,,
Finance,Jun 2004,16.27,,,,,
Finance,Jul 2004,16.17,,,,,
Finance,Aug 2004,17.25,,,,,
Finance,Sep 2004,19.38,,,,,
Finance,Oct 2004,26.2,,,,,
Finance,Nov 2004,33.53,,,,,
Finance,Dec 2004,32.2,,,,,
Finance,Jan 2005,38.45,,,,,
Finance,Feb 2005,44.86,,,,,
Finance,Mar 2005,41.67,,,,,
Finance,Apr 2005,36.06,,,,,
Finance,May 2005,39.76,,,,,
Finance,Jun 2005,36.81,,,,,
Finance,Jul 2005,42.65,,,,,
Finance,Aug 2005,46.89,,,,,
Finance,Sep 2005,53.61,,,,,
Finance,Oct 2005,57.59,,,,,
Finance,Nov 2005,67.82,,,,,
Finance,Dec 2005,71.89,,,,,
Finance,Jan 2006,75.51,,,,,
Finance,Feb 2006,68.49,,,,,
Finance,Mar 2006,62.72,,,,,
Finance,Apr 2006,70.39,,,,,
Finance,May 2006,59.77,,,,,
Finance,Jun 2006,57.27,,,,,
Finance,Jul 2006,67.96,,,,,
Finance,Aug 2006,67.85,,,,,
Finance,Sep 2006,76.98,,,,,
Finance,Oct 2006,81.08,,,,,
Finance,Nov 2006,91.66,,,,,
Finance,Dec 2006,84.84,,,,,
Finance,Jan 2007,85.73,,,,,
Finance,Feb 2007,84.61,,,,,
Finance,Mar 2007,92.91,,,,,
Finance,Apr 2007,99.8,,,,,
Finance,May 2007,121.19,,,,,
Finance,Jun 2007,122.04,,,,,
Finance,Jul 2007,131.76,,,,,
Finance,Aug 2007,138.48,,,,,
Finance,Sep 2007,153.47,,,,,
Finance,Oct 2007,189.95,,,,,
Finance,Nov 2007,182.22,,,,,
Finance,Dec 2007,198.08,,,,,
Finance,Jan 2008,135.36,,,,,
Finance,Feb 2008,125.02,,,,,
Finance,Mar 2008,143.5,,,,,
Finance,Apr 2008,173.95,,,,,
Finance,May 2008,188.75,,,,,
Finance,Jun 2008,167.44,,,,,
Finance,Jul 2008,158.95,,,,,
Finance,Aug 2008,169.53,,,,,
Finance,Sep 2008,113.66,,,,,
Finance,Oct 2008,107.59,,,,,
Finance,Nov 2008,92.67,,,,,
Finance,Dec 2008,85.35,,,,,
Finance,Jan 2009,90.13,,,,,
Finance,Feb 2009,89.31,,,,,
Finance,Mar 2009,105.12,,,,,
Finance,Apr 2009,125.83,,,,,
Finance,May 2009,135.81,,,,,
Finance,Jun 2009,142.43,,,,,
Finance,Jul 2009,163.39,,,,,
Finance,Aug 2009,168.21,,,,,
Finance,Sep 2009,185.35,,,,,
Finance,Oct 2009,188.5,,,,,
Finance,Nov 2009,199.91,,,,,
Finance,Dec 2009,210.73,,,,,
Finance,Jan 2010,192.06,,,,,
Finance,Feb 2010,204.62,,,,,
Finance,Mar 2010,223.02,,,,,
